#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
LRRC47	1	-	3778557	3796504	3778557,3781511,3782660,3783995,3785086,3786848,3795861,	3781336,3781601,3782763,3784111,3785203,3787310,3796504,
CEP104	1	-	3812080	3857199	3812080,3816279,3823173,3823423,3825757,3826369,3826707,3829265,3829790,3831045,3833861,3834924,3836494,3837291,3838963,3839607,3844906,3845288,3847474,3848607,3852294,3856888,	3815517,3816370,3823241,3823562,3825866,3826436,3826744,3829373,3829997,3831222,3834035,3835092,3836692,3837519,3839119,3839776,3844983,3845351,3847613,3848781,3852421,3857199,
DFFB	1	+	3857280	3885429	3857280,3858717,3865811,3867973,3869604,3872471,3883506,	3857717,3858844,3866000,3868053,3869775,3872572,3885429,
C1orf174	1	-	3889124	3900285	3889124,3890568,3892882,3900171,	3890073,3891057,3892996,3900285,
AJAP1	1	+	4654731	4777794	4654731,4711899,4769852,4772279,4774426,4777400,	4655454,4712699,4769940,4772525,4774558,4777794,
NPHP4	1	-	5862817	5992471	5862817,5863889,5864337,5865101,5866372,5867029,5867739,5873251,5874470,5874873,5877092,5880113,5887285,5890867,5904616,5905291,5905631,5907114,5909151,5927648,5933146,5947103,5948069,5952699,5961793,5967298,5969086,5978269,5986154,5992243,	5863405,5864033,5864517,5865273,5866458,5867115,5867896,5873335,5874657,5875100,5877298,5880239,5887466,5891028,5904804,5905483,5905783,5907222,5909213,5927787,5933329,5947230,5948251,5952836,5961949,5967363,5969259,5978413,5986327,5992471,
KCNAB2	1	+	5992362	6101193	5992362,6040516,6041830,6072754,6073732,6082194,6085203,6087466,6089007,6090388,6094399,6095322,6095529,6096635,6097268,6098484,	5992788,6040645,6041872,6072798,6073770,6082274,6085248,6087511,6089051,6090475,6094485,6095443,6095624,6096756,6097357,6101193,
CHD5	1	-	6101792	6180123	6101792,6106233,6106394,6106615,6109794,6110393,6111774,6112139,6112908,6121104,6121493,6123947,6124516,6125099,6125523,6125765,6126571,6128045,6128498,6128837,6130203,6131630,6134127,6134717,6135229,6136516,6136727,6142127,6142413,6143822,6144023,6146211,6146664,6148853,6149245,6151031,6152411,6154659,6155598,6159335,6168149,6179944,	6105427,6106287,6106509,6106779,6109990,6110526,6111883,6112277,6112998,6121237,6121573,6124107,6124661,6125233,6125612,6125858,6126746,6128218,6128609,6129069,6130328,6131748,6134259,6134859,6135403,6136638,6136865,6142328,6142605,6143931,6144155,6146423,6146871,6149075,6149412,6151155,6152536,6154898,6155717,6159515,6168277,6180123,
RPL22	1	-	6185019	6199612	6185019,6192929,6197651,6199561,	6186816,6193054,6197756,6199612,
RNF207	1	+	6206175	6221299	6206175,6206535,6207378,6208880,6209114,6209267,6209413,6209923,6210222,6210369,6210869,6211020,6211866,6212230,6212681,6213065,6218288,6219235,	6206302,6206726,6207511,6209025,6209196,6209343,6209539,6209970,6210295,6210438,6210938,6211118,6212053,6212416,6212733,6213183,6218369,6221299,
ICMT	1	-	6221192	6235940	6221192,6231901,6233473,6234885,6235716,	6225262,6232119,6233643,6234974,6235940,
HES3	1	+	6244191	6245578	6244191,6244350,6244547,6245109,	6244241,6244446,6244629,6245578,
GPR153	1	-	6247345	6260975	6247345,6250439,6251337,6253717,6254549,6260824,	6250003,6250624,6251530,6254147,6255014,6260975,
ACOT7	1	-	6264272	6385813	6264272,6281101,6294863,6318491,6327298,6333476,6339432,6349748,6385493,	6264695,6281286,6294980,6318578,6327413,6333568,6339589,6349866,6385813,
HES2	1	-	6415231	6419919	6415231,6419240,6419606,6419775,	6419153,6419340,6419702,6419919,
ESPN	1	+	6424787	6460944	6424787,6428225,6440253,6440625,6440933,6444480,6445663,6448640,6451602,6451832,6457183,6457360,6459998,	6425249,6428419,6440440,6440808,6441065,6444682,6445935,6449091,6451748,6452096,6457263,6457372,6460944,
TNFRSF25	1	-	6461150	6466175	6461150,6461993,6462628,6462862,6463064,6464374,6464551,6465087,6465439,6466068,	6461762,6462174,6462666,6462970,6463147,6464453,6464719,6465222,6465560,6466175,
PLEKHG5	1	-	6466091	6485954	6466091,6467824,6469041,6469334,6469543,6470235,6470505,6470734,6470989,6471487,6471757,6472526,6472985,6473250,6474012,6474450,6475046,6475461,6475930,6477528,6485835,	6467572,6468586,6469241,6469450,6469676,6470355,6470643,6470884,6471100,6471637,6471808,6472622,6473174,6473454,6474164,6474587,6475138,6475522,6476036,6477658,6485954,
NOL9	1	-	6521346	6554535	6521346,6526695,6528993,6531967,6532462,6533279,6541829,6544825,6545044,6549570,6550395,6554106,	6526003,6526829,6529171,6532079,6532760,6533441,6541927,6544922,6545180,6549698,6550615,6554535,
TAS1R1	1	+	6555180	6579757	6555180,6570908,6574630,6576414,6576949,6578652,	6555564,6571215,6575392,6576627,6577070,6579757,
ZBTB48	1	+	6580047	6589280	6580047,6580540,6582057,6585918,6586694,6587204,6587477,6588059,6588277,6588755,6588915,	6580136,6581299,6582299,6586030,6586787,6587291,6587632,6588196,6588442,6588844,6589280,
KLHL21	1	-	6590723	6602869	6590723,6595484,6599046,6601796,	6593658,6595557,6599452,6602869,
PHF13	1	+	6613684	6624033	6613684,6616756,6619802,6621410,	6614105,6616858,6620337,6624033,
THAP3	1	+	6625191	6635586	6625191,6628498,6630287,6632369,6634019,	6625292,6628691,6630353,6632495,6635586,
DNAJC11	1	-	6634167	6701924	6634167,6636116,6637197,6637446,6638294,6639901,6644557,6645040,6645788,6651528,6652828,6653910,6667708,6678393,6680907,6701728,	6635700,6636246,6637340,6637504,6638364,6640057,6644674,6645126,6645978,6651602,6652951,6654039,6667810,6678467,6681037,6701924,
CAMTA1	1	+	6785323	7769706	6785323,6820180,6825091,7091303,7249490,7467829,7640399,7661725,7663352,7670910,7677598,7732447,7736343,7736930,7737254,7737958,7744834,7745844,7747709,7751198,7752458,7755637,7766458,	6785575,6820250,6825210,7091371,7249626,7467901,7640553,7661866,7665199,7671037,7677733,7732599,7736540,7737009,7737570,7738482,7745022,7746091,7747781,7751392,7752533,7755668,7769706,
VAMP3	1	+	7771268	7781432	7771268,7773441,7777159,7778117,7779625,	7771385,7773511,7777318,7778169,7781432,
PER3	1	+	7784702	7845177	7784702,7785440,7786720,7788044,7793959,7798524,7801112,7803046,7803691,7808892,7809892,7810437,7819284,7820114,7820466,7826479,7827117,7829836,7835761,7836998,7842671,	7785005,7785586,7786836,7788246,7794008,7798673,7801191,7803153,7803848,7808998,7810021,7810567,7819420,7820239,7820640,7826710,7827815,7830161,7835945,7837149,7845177,
UTS2	1	-	7847765	7853431	7847765,7849639,7850811,7852900,7853306,	7847882,7849683,7850922,7852923,7853431,
TNFRSF9	1	-	7915893	7943165	7915893,7933161,7935012,7937689,7938192,7938720,7939894,7940783,7943138,	7920923,7933296,7935143,7937756,7938330,7938828,7940078,7940933,7943165,
PARK7	1	+	7961662	7985279	7961662,7962762,7965323,7969344,7970893,7977651,7984893,	7961793,7962875,7965425,7969404,7970963,7977738,7985279,
ERRFI1	1	-	8011718	8026308	8011718,8015307,8015494,8026157,	8014396,8015384,8015692,8026308,
SLC45A1	1	+	8324329	8344167	8324329,8325297,8325817,8330208,8335436,8337815,8339492,8343746,	8324726,8325390,8326042,8330936,8335590,8337992,8339698,8344167,
RERE	1	-	8352396	8817465	8352396,8355418,8356099,8358195,8359763,8360111,8361762,8362682,8364055,8364745,8365811,8422726,8465924,8495062,8497404,8508626,8541213,8556474,8557417,8614560,8624309,8655972,8792403,8817159,	8355120,8355599,8356246,8358916,8359986,8361490,8361876,8362844,8364255,8364838,8365974,8422807,8466023,8495162,8497529,8508675,8541318,8556571,8557523,8614686,8624380,8656441,8792588,8817465,
ENO1	1	-	8861001	8878690	8861001,8862886,8863234,8863890,8865284,8866278,8867116,8867987,8870451,8871890,8874823,8878579,	8861429,8862945,8863343,8864092,8865482,8866501,8867250,8868057,8870510,8871986,8874917,8878690,
CA6	1	+	8945882	8975092	8945882,8949262,8957136,8958909,8962586,8967658,8970866,8974621,	8945965,8949442,8957285,8959002,8962656,8967816,8970981,8975092,
SLC2A7	1	-	9003299	9026345	9003299,9004751,9007309,9010142,9013524,9014680,9015116,9018222,9019208,9022917,9024975,9026294,	9003518,9004879,9007385,9010244,9013635,9014868,9015242,9018375,9019333,9023078,9025074,9026345,
SLC2A5	1	-	9035106	9069716	9035106,9037896,9038430,9038827,9039551,9039799,9040063,9041784,9047609,9057447,9058151,9069503,	9037789,9038024,9038506,9038929,9039662,9039987,9040189,9041937,9047734,9057608,9058250,9069716,
GPR157	1	-	9100304	9129170	9100304,9105485,9111275,9128644,	9104634,9105680,9111489,9129170,
H6PD	1	+	9234774	9271337	9234774,9244924,9246965,9262058,9263508,	9235066,9245561,9247083,9262328,9271337,
SPSB1	1	+	9292879	9369532	9292879,9355742,9367447,	9293071,9356585,9369532,
SLC25A33	1	+	9539481	9585179	9539481,9553625,9567283,9570257,9573345,9579953,9582298,	9539747,9553805,9567361,9570358,9573412,9580234,9585179,
TMEM201	1	+	9588921	9614849	9588921,9595889,9596858,9598448,9601104,9602068,9607556,9609839,9610505,9611752,9612985,	9589043,9596010,9597053,9598625,9601454,9602272,9607789,9609911,9610805,9611890,9614849,
PIK3CD	1	+	9651744	9728919	9651744,9691466,9710423,9715540,9715848,9716439,9716958,9717536,9718693,9719920,9720111,9720610,9720741,9721126,9721443,9721760,9721974,9722243,9722527,9723124,9723968,9724275,9724803,9726908,	9651802,9691571,9710596,9715769,9716078,9716619,9717108,9717626,9718915,9720017,9720242,9720661,9720909,9721248,9721587,9721860,9722153,9722356,9722606,9723292,9724092,9724421,9724936,9728919,
CLSTN1	1	-	9729027	9823984	9729027,9731205,9731760,9733400,9733971,9734947,9735466,9735884,9737497,9741093,9743883,9744394,9749460,9749763,9751472,9755113,9773271,9823642,	9730705,9731390,9731896,9733546,9734142,9735174,9735615,9736042,9737554,9741256,9744005,9744643,9749646,9749913,9751681,9755309,9773394,9823984,
CTNNBIP1	1	-	9848275	9910263	9848275,9871186,9871968,9877904,9883704,9910094,	9850776,9871277,9872088,9877989,9883738,9910263,
LZIC	1	-	9928938	9943329	9928938,9931890,9932802,9934761,9935491,9936518,9942623,9943248,	9930457,9931972,9932898,9934860,9935627,9936627,9942782,9943329,
NMNAT1	1	+	9943427	9985498	9943427,9972017,9975591,9981030,9982300,	9943515,9972188,9975775,9981170,9985498,
RBP7	1	+	9997215	10016020	9997215,10007569,10008172,10015781,	9997331,10007748,10008274,10016020,
UBE4B	1	+	10032831	10180367	10032831,10072027,10095460,10101107,10102947,10105515,10117458,10119512,10121961,10126793,10129391,10130499,10130714,10132368,10134987,10137066,10144939,10146962,10149183,10151325,10158355,10161141,10168135,10171137,10178643,10179415,10179894,	10033694,10072214,10095596,10101195,10103092,10105744,10117600,10119613,10122076,10126877,10129448,10130616,10130813,10132482,10135186,10137205,10145039,10147090,10149282,10151561,10158482,10161286,10168270,10171329,10178818,10179562,10180367,
KIF1B	1	+	10210804	10377937	10210804,10232249,10256246,10258492,10261904,10267379,10268151,10271501,10272240,10275427,10276320,10277985,10282399,10291081,10292046,10295085,10295659,10296581,10296896,10297173,10320042,10321708,10323883,10324757,10326110,10334519,10336656,10337073,10337370,10339768,10342049,10343231,10345844,10347760,10348648,10352630,10360928,10361691,10363282,10365099,10365408,10368466,10371140,10374315,10374853,10375254,10376544,	10210878,10232434,10256323,10258672,10261970,10267558,10268263,10271579,10272306,10275503,10276399,10278128,10282533,10291161,10292122,10295165,10295766,10296665,10297077,10297246,10320136,10321857,10324062,10324895,10326359,10334638,10336742,10337203,10337533,10339859,10342168,10343287,10345953,10347827,10348733,10352736,10361043,10361825,10363344,10365245,10365648,10368538,10371262,10374465,10375046,10375373,10377937,
PGD	1	+	10399079	10420144	10399079,10399628,10400392,10403070,10404160,10408070,10411417,10413061,10416986,10417375,10418825,10419416,10419629,	10399125,10399704,10400572,10403136,10404279,10408140,10411552,10413251,10417117,10417509,10418925,10419539,10420144,
APITD1-CORT	1	+	10430101	10452153	10430101,10433841,10434656,10440346,10451376,	10430568,10433965,10434690,10440413,10452153,
APITD1	1	+	10430442	10442809	10430442,10433841,10434656,10440346,10442264,	10430568,10433965,10434690,10440413,10442809,
CORT	1	+	10449718	10451902	10449718,10451376,	10450322,10451902,
DFFA	1	-	10456521	10472526	10456521,10463057,10463430,10467189,10469176,10472322,	10461702,10463209,10463620,10467332,10469338,10472526,
PEX14	1	+	10474886	10630758	10474886,10495273,10536212,10599237,10618331,10623018,10624339,10627271,10629530,	10475002,10495321,10536297,10599366,10618417,10623121,10624437,10627363,10630758,
CASZ1	1	-	10636603	10796648	10636603,10642858,10643159,10644916,10646127,10647800,10649069,10649282,10650691,10650940,10653376,10654418,10655648,10656645,10658507,10659701,10665082,10693873,10705491,10760700,10796563,	10640059,10643000,10643311,10645088,10646326,10648139,10649192,10649437,10650755,10651076,10654218,10654591,10655813,10656736,10658576,10660536,10665571,10693912,10705544,10760857,10796648,
C1orf127	1	-	10946472	10982037	10946472,10947642,10949623,10954018,10954989,10957022,10957615,10958713,10964127,10966357,10969969,10976155,10982011,	10946741,10948844,10949814,10954142,10955186,10957107,10957753,10958752,10964271,10966482,10970089,10976256,10982037,
TARDBP	1	+	11012399	11026420	11012399,11013715,11016843,11018732,11020428,11022123,	11012743,11013965,11017007,11018873,11020599,11026420,
MASP2	1	-	11026522	11047223	11026522,11030175,11030747,11034827,11037692,11042874,11043338,11045407,11046555,11046890,11047202,	11027648,11030250,11030882,11034906,11037811,11043022,11043535,11045539,11046733,11047119,11047223,
